Video ID,Start Time (s),End Time (s),Transcript
https://youtu.be/5A-oKchY7Og,115.1,122.1,ಮನುಷ್ಯ ಹುಟ್ಟಿನಿಂದ ಸಾಯಿವರೆಗೆ ನಾವೆಲ್ಲ ಬಯಸುವುದು ನಮ್ಮ ಗುರಿ.
https://youtu.be/5A-oKchY7Og,122.1,127.2,"ಏನು ಅಂದ್ರೆ ನಮಗೆ ದುಃಖ ಇರಬಾರದು, ನಾವೆಲ್ಲ ಸಂತೋಷವಾಗಿ ಬದುಕಬೇಕುಂತ."
https://youtu.be/5A-oKchY7Og,127.3,130.3,ನಮ್ಮೆಲ್ಲರ ಅಪೇಕ್ಷೆ ಅದೇ.
https://youtu.be/5A-oKchY7Og,130.3,133.0,ನಾವೆಲ್ಲರೂ ಸಂತೋಷವಾಗಿರಬೇಕು.
https://youtu.be/5A-oKchY7Og,133.0,136.4,ಸಂತೋಷವಾಗಿರಲಿಕ್ಕೆ ಏನು ಬೇಕು ಮನುಷ್ಯನಿಗೆ?
https://youtu.be/5A-oKchY7Og,136.5,139.0,ಉಂಡ್ಲಿಕ್ಕೆ ಅನ್ನ ಬೇಕು.
https://youtu.be/5A-oKchY7Og,139.2,143.4,"ಉಡ್ಲಿಕ್ಕೆ ಅರಿವೇ ಬೇಕು, ಇರ್ಲಿಕ್ಕೆ ಆಶ್ರಯ ಬೇಕು."
https://youtu.be/5A-oKchY7Og,143.9,147.7,ಇಷ್ಟೇ ಇದ್ದರೆ ಸಂತೋಷವಾಗಿರಲಿಕ್ಕೆ ಸಾಧ್ಯವಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,148.0,151.9,ಅನ್ನ ಬೇಕು ಆಶ್ರಯ ಬೇಕು.
https://youtu.be/5A-oKchY7Og,151.9,153.7,ಅರಿವೆ ಬೇಕು.
https://youtu.be/5A-oKchY7Og,153.7,157.8,ಇಷ್ಟೇ ಇದ್ದರೆ ಸಂತೋಷವಾಗಿರಲಿಕ್ಕೆ ಸಾಧ್ಯವಿಲ್ಲ ಮನುಷ್ಯ.
https://youtu.be/5A-oKchY7Og,157.8,160.7,ಅನ್ನ ಆಶ್ರಯ.
https://youtu.be/5A-oKchY7Og,160.7,173.5,"ಅರಿವೆಯ ಜೊತೆ ಹಾಗೆ ಬದುಕಬೇಕು, ಭೂಮಿಯ ಮೇಲೆ ಎನ್ನುವ ಅರಿವು ಬೇಕು ಅಂದ ಸಂತೋಷವಾಗಿರಲಿ್ೆ ಸಾಧ್ಯ ಇಲ್ಲದೆ ಸಂತೋಷವಾಗಿ ಬದುಕಲಿಕ್ಕೆ ಸಾಧ್ಯವಿಲ್ಲ."
https://youtu.be/5A-oKchY7Og,174.4,181.5,"ನೀವು ಅಬಹುದು ಒಬ್ಬ ಒಬ್ಬ ಅರಿವುಳ್ಳ ವ್ಯಕ್ತಿ ಪ್ರಜ್ಞೆ, ಅರಿವು ವಿಚಾರನ."
https://youtu.be/5A-oKchY7Og,181.5,183.9,ಬದುಕಿನಲ್ಲಿ ಸಂತೋಷ ಕೊಡುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,183.9,186.7,ಗೊಂದು ಕಲ್ಲು ತಂದುಕೊಟ್ಟರು.
https://youtu.be/5A-oKchY7Og,187.1,189.9,ಒಂದು ಕಲ್ಲು ತಂದು ಕೊಟ್ಟರೆ.
https://youtu.be/5A-oKchY7Og,189.9,194.4,ಅರಿವಿಲ್ಲದ ವ್ಯಕ್ತಿ ಅದನ್ನು ಸುತ್ತಿಗೆ ತೊಂಡು ಹೊಡೆದು ಕಂಕರ ಮಾಡುತ್ತಾ.
https://youtu.be/5A-oKchY7Og,195.7,207.4,"ಅದೇ ಅವನಿಗೆ ಅರಿವು ಪ್ರಜ್ಞೆ, ಕಲಾತ್ಮಕತೆ, ಸೃಜನಶೀಲತೆ ಇತ್ತು ಅಂದರೆ ಸೃಜನಶೀಲತೆ ಅರಿವು ಇಲ್ಲದ ಮಾಡುತ್ತಾನೆ."
https://youtu.be/5A-oKchY7Og,207.4,221.1,ಅರಿವು ಸೃಜನಶೀಲತೆಯುಳ್ಳ ವ್ಯಕ್ತಿಗೆ ಅದೇ ಕಲ್ಲು ಕೊಟ್ಟರೆಮಾಡು ನಿರ್ಮಾಣ ಮಾಡುಮಾಡುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,221.1,224.5,ನೀವ ನಮಗೆ ಅರಿವಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,225.5,228.8,ಈಗ ನೀವು ನೋಡಿ ನಿಮ್ಗ ಮೊಬೈಲ್ ಇರುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,228.8,230.9,ಮೊಬೈಲ್ಗೆ
https://youtu.be/5A-oKchY7Og,231.5,236.1,ಮೊಬೈಲ್ ಬಿದ್ದರು ಒಡಿದತ ತಿಳ್ಕೊಂಡು.
https://youtu.be/5A-oKchY7Og,236.3,240.6,ಅದಕ್ಕೊಂದು ಸ್ಕ್ರೀನ್ ಗಾರ್ಡ್ ಹಾಕಿರ ನವೆಲ್ಲ ಹಾಕ್ಿರಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,241.3,248.6,ಮೊಬೈಲ್ ಬಿದ್ದರು ಒಡಿಂತ ಮೊಬೈಲ್  ಬರೆದ ಒಂದು ಸ್ಕ್ರೀನ್ ಗಾರ್ಡ್ ಹಾಕ್ತೀರಿ.
https://youtu.be/5A-oKchY7Og,248.9,258.7,ಮತ್ತು ಗಾಡಿ ಮೇಲೆ ಹೋಗಾಗ ಕೆಳಗೆ ಬಿದ್ದರೆ ತಿ ಹೆಲಮೆಟ್ ಹಾಕ ಮಾಡುತ್ತಿದ್ದೆ.
https://youtu.be/5A-oKchY7Og,260.0,264.8,ಅರಿವು ಎಷ್ಟು ದೊಡ್ಡ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದೆ ಕರ್ನಾಟಕ ಕನ್ನಡ ಭಾಷೆ?
https://youtu.be/5A-oKchY7Og,264.8,269.5,ಇಲ್ಲಿ ಎಷ್ಟು ಮೂಲಅಕ್ಷರಗಳ ನಲವತ್ತೊಂಬತ್ತು ಮೂಲಕ್ಷರ.
https://youtu.be/5A-oKchY7Og,269.7,275.0,ಇದೇ ನಲವತ್ತೊಂಬತ್ತು ಮೂಲಕ್ಷರಗಳನ್ನು ಬಳಸಿದ ಬೇಂದ್ರೆ.
https://youtu.be/5A-oKchY7Og,275.6,279.6,ಕುವೆಂಪು ಜ್ಞಾನಪೀಠ ಪ್ರಶಸ್ತಿ ತಗೊಂಡರು.
https://youtu.be/5A-oKchY7Og,279.6,297.8,ನಾವು ಅದೇ ನಲವತ್ತೊಂಬತ್ತು ಅಕ್ಷರ ಭಾಷೆಯನ್ನು ಬಳಸುತ್ತೇವೆ ನಾವೇನು ಮಾಡ ಭಾಷೆ ಇನ್ನೊಬ್ಬರು ೆಕೆಲಸ ಮಾಡಿ  ಪ್ರಶಸ್ತಿ ಬಂದಿಲ್ಲವ್ಯಇನ್ನ ಬಳಸಿ ಜ್ಞಾನಪೀಠ ಪ್ರಶಸ್ತಿಕೆಲಸ ಮಾಡುತ್ತಾನೆ.
https://youtu.be/5A-oKchY7Og,298.7,302.4,ಈಗ ನಿಮಗೆಹಾ.
https://youtu.be/5A-oKchY7Og,302.6,307.4,"ಹಾಲು ಕುಡಿದರೆ ಏನು ಗೊತ್ತಾಗುತ್ತಿತ್ತು, ಏನು ಬರುತ್ತತು ಅಂತ ಗೊತ್ತಿತ."
https://youtu.be/5A-oKchY7Og,307.5,312.4,ಅಲ್ಕೋಹಾಲು ಕುಡಿದರೆ ಏನಾಗುತ್ತಿತತು ಅಂತ ಗೊತ್ತಾಯತು.
https://youtu.be/5A-oKchY7Og,312.4,315.0,ಅಲ್ಕೋಲ್ ಗೊತ್ತಾಗುತ್ಿತ.
https://youtu.be/5A-oKchY7Og,315.5,319.2,ಬಹಳ ಸಾತ್ವಿಕ ಜನ ಅಂತ ಗೊತ್ತಾಗುವುದಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,321.6,324.4,ಯಾಕಂದ್ರೆ ಮಂದೆ ಮುಟ್ಟಿದವರೆಲ್ಲ.
https://youtu.be/5A-oKchY7Og,324.9,329.7,ಅಲಾಗಿಲ್ಲ ಸಂಧಿ ಬೇನಗಿಡ ನೋಡಿದರೆ.
https://youtu.be/5A-oKchY7Og,330.0,334.0,ಹೊಸ ಪ್ಲಾಟ್ ಮಾಡಿಲ್ಲರ ಇರುತ್ತಾರೆಲ್ಲ.
https://youtu.be/5A-oKchY7Og,337.0,338.7,ಹಾಲು
https://youtu.be/5A-oKchY7Og,338.7,345.3,"ಕುಡಿದರೆ ಏನಾಗುತ್ತಿತ್ತು, ಹಾಲು ಕುಡಿದರೆ ಏನಾಗುತ್ತೆ ಅರಿವು ನಮಗಿಲ್ಲ."
https://youtu.be/5A-oKchY7Og,345.3,359.7,ಮತ್ತು ಕುಡಿಯವರು ಅದರೆಲ್ಲ ಬಹಳ ದೇಶಭಕ್ತರು ನಾಡಿನ ಭಕ್ತರ ಯಾಕೆಂದರೆ ಅವರು ಕುಡಿದ ಸರ್ಕಾರಗಳ ನಕಿ.
https://youtu.be/5A-oKchY7Og,359.7,364.7,ಮತ್ತು ಎಷ್ಟೋ ಮಂದಿ ಕುಡಿದು ಬಿದ್ದು.
https://youtu.be/5A-oKchY7Og,364.7,366.9,ಸತ್ತು
https://youtu.be/5A-oKchY7Og,367.2,378.2,ಕುಡಿದವರ ಹೆಣಗಳ ದಿಬ್ಬಣದ ಮೇಲೆ ಸರ್ಕಾರ ನಡೆಸುವಂತ ಅರಿವುವರು ದೊಡ್ಡವರ ನಾವೆಷ್ಟು ದೊಡ್ಡವರ ನಮಗೆ.
https://youtu.be/5A-oKchY7Og,378.4,383.3,ಅಂದರೆ ಮನುಷ್ಯನಿಗೆ ಜೀವನದಲ್ಲಿ ಬೇಕಾದದ್ದು ಅರಿವು.
https://youtu.be/5A-oKchY7Og,383.3,387.7,ಅರಿವು ತಪ್ಪಿು ಅಂದರೆ ಬದುಕುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,388.5,394.8,"ಇವತ್ತೆಲ್ಲ ಗುರುಗಳು ಮಾತಾಡಿದರಲ್ಲ ವಿಚಾರ ಬೇಕು, ಜ್ಞಾನ ಬೇಕು, ಅರಿವು ಬೇಕು."
https://youtu.be/5A-oKchY7Og,394.8,402.5,ಅದಕ್ಕಾಗಿ ಮನುಷ್ಯ ಜೀವನದ ತುಂಬಾ ಹುಟ್ಟಿನಿಂದ ಸಾಯುವರೆಗೆ ಮಾಡುವ ಒಂದೇ ಒಂದು ಕೆಲಸ ಅಂದರೆ.
https://youtu.be/5A-oKchY7Og,402.5,407.3,ಕಲಿಯುವುದುಬೇಕು ಮನುಷ್ಯ ಇಲ್ಲಿ.
https://youtu.be/5A-oKchY7Og,407.3,411.6,ಈ ಜಗತ್ತು ಬಾಳ ಕಲಿಸುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,411.6,414.4,ಏನು ಕಲಿಬೇಕು? ಜೀವನದೊಳಗೆ?
https://youtu.be/5A-oKchY7Og,414.5,418.4,"ಪ್ರತಿಕ್ಷಣ, ಪ್ರತಿಕ್ಷಣ ಇಲ್ಲಿ ಕಲಿಯುವುದಿದೆ."
https://youtu.be/5A-oKchY7Og,418.4,426.6,ಜೀವನದ ತುಂಬ ಏನು ಮಾಡಬೇಕು ಎಂದರೆ ಹೊಸದನ್ನು ಕಲಿಯುವುದು ಪ್ರತಿಕ್ಷಣ ಬದುಕಿನ ಪ್ರತಿಕ್ಷಣ ನಮಗೆ ಪಾಠ ಕಲಿಸುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,426.6,432.8,ಡೋಂಟ್ ಸ್ಟಾಪ್ ಲರ್ನಿಂಗ್ ವಿಕಾಸ್  ಸ್ಟಾಪ್ ಟೀಚಿಂಗ್.
https://youtu.be/5A-oKchY7Og,432.9,435.6,ನೆವರ್ಸ್ಟಾಪ್ ಟೀಚಿಂಗ್.
https://youtu.be/5A-oKchY7Og,435.6,440.8,ಜೀವನ ಮನುಷ್ಯನಿಗೆ ಪ್ರತಿಕ್ಷಣ ಬದುಕುವುದನ್ನು ಕಲಿಸುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,441.2,445.3,ಸಾಲಿ ಕಲಿತರ ಅಷ್ಟೇ ಕಲಿಸುತ್ತಾರೆ ಅಂತ ನಮ್ಮ.
https://youtu.be/5A-oKchY7Og,445.3,447.4,ಸಾಲಿ ಕಲಿತಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,448.1,470.4,ನಾನು ಕಟ್ಟಿ ಮ್ಾಲೆ ಹಾಲುಹಟಿ ಮಾಡಿಕೊಂಡು ಕುಂತಾಗ ನಮಗೆಲ್ಲರಿಗೂಅನುಭವಲಲ ನೋಡುಮಾಡಬೇಡ.
https://youtu.be/5A-oKchY7Og,471.2,475.6,ಅವಸಾಲಿ ಕಲಿತಿಲ್ಲ ಆದರೆ ತನ್ನ ಮಾತಿನಲ್ಲಿ ಎಷ್ಟು ಜ್ಞಾನ.
https://youtu.be/5A-oKchY7Og,476.3,481.6,ಜೀವನದೊಳಗೆ ಕಣ್ಣು ತೆರೆದು ಬಿಟ್ಟರೆ ಜಗತ್ತೇ ಒಂದು ಪಾಠಶಾಲೆ.
https://youtu.be/5A-oKchY7Og,483.0,486.3,ಎಲ್ಲರೂ ಕಲಿಸ್ಥಿತಿ ತಾಯಂದರ.
https://youtu.be/5A-oKchY7Og,486.3,491.2,ತಾಯಂದಿರು ಅಡುಗೆ ಮಾಡುತ್ತಾರಿ ಮಾಡುತ್ತಿರಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,491.2,492.8,ಎದುರಾಗಿ ಮಾಡುತ್ತೀರಿ.
https://youtu.be/5A-oKchY7Og,492.8,497.9,ಕುಕ್ಕರ ಮಾಡುತ್ತಾರಿ ನಿಮಗೆ ಕ್ಕಏನು ಕಲಿಸುತ್ತೆ.
https://youtu.be/5A-oKchY7Og,497.9,505.3,ನಮ್ಮ ಹುಡುಕ ನಮಗ ಬೆಂಕಿಸಿಟಿ ಹುಡುಕು.
https://youtu.be/5A-oKchY7Og,505.3,507.6,ನಮಗಾಗರು
https://youtu.be/5A-oKchY7Og,507.6,514.8,ನಮ್ಮ ತಳಕ ಬೆಂಕಿ.
https://youtu.be/5A-oKchY7Og,517.5,521.6,ಮಿಕ್ಸರ್ ಮಿಕ್ಸರ್ಕಲಿ.
https://youtu.be/5A-oKchY7Og,521.6,527.0,ಈಗ ಹೊಟ್ಟೆಗ ಎಷ್ಟರ ಸಂಗತಿ ಬಾಯಿ ಮುಚ್ಚಿಕೊಂಡು ಕೆಲಸ ಮಾಡ ಮಿಕ್ಸರ್.
https://youtu.be/5A-oKchY7Og,527.0,532.1,ಕಲಿಸಿಲ್ಲಕಲಿಸ ಜೀವನ.
https://youtu.be/5A-oKchY7Og,532.4,536.7,ಜೀವನ ಅಂದರೆ ಜಗತ್ತಲ್ಲ.
https://youtu.be/5A-oKchY7Og,537.7,543.8,ಜಗತ್ತು ಅಂದರೆ ಇದೊಂದು ಡೊನೇಶನ್ ಇಲ್ಲದ ಪಾಠಶಾಲೆ ಅಂದರೆ ಜಗತ್ತು.
https://youtu.be/5A-oKchY7Og,543.8,559.3,ನೀವಯಾರು ಡೊನೇಷನ್ ಕೊಡಬೇಕಾಗಿಲ್ಲ  ಕೊಡಬೇಕಾಗು ಬೇಕಾಗುು.
https://youtu.be/5A-oKchY7Og,559.3,564.3,ಆದರೆ ಜೀವನ ಆಗಲ್ಲ ಶಾಲೆಯಲ್ಲಿ ಕೊಟ್ಟ ಬೇಕಾಗುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,564.4,568.4,ಯಾರೋ ಒಬ್ಬರು ಸರ್ ಒಒಂದು ಶಾಲೆಯಳಗೆ.
https://youtu.be/5A-oKchY7Og,568.4,573.2,ಒಂದು ಮಗು ಮನೆಗೆ ಬಂತು ಮನೆಗೆ ಬಂದು ಮಾಡುತ್ತಿತ್ತು.
https://youtu.be/5A-oKchY7Og,573.2,577.6,ತಾಜ್ಮಹಲಿನ ಹುಬ್ಬಳಿ ತಾಜ್ಮಹಲಿನ ಹುಬ್ಳಿ.
https://youtu.be/5A-oKchY7Og,578.1,580.6,ಅವರಪ ಕೇಳಿಸಟ್ ಬಂತು.
https://youtu.be/5A-oKchY7Og,580.6,587.7,ಯಾರು ಕಲಿಸಿನಗಟೀಚರ್.
https://youtu.be/5A-oKchY7Og,587.7,590.5,ಸಿಟ್ಟು ಬಂತುಮಸ್ತರು.
https://youtu.be/5A-oKchY7Og,590.5,595.5,ಸೀದ ಅಪ್ಪ ಸಾಲಿಗೆ ಹೋದ.
https://youtu.be/5A-oKchY7Og,595.5,597.2,ಏನು ಕಲಿಸಿಿ?
https://youtu.be/5A-oKchY7Og,597.2,604.7,ಅಲ್ಲ ನನ್ನ ಮಗ ಬಂದ ದಿವಸ ಬಾಯ್ಪಾ ಮಾಡಿ ತಾಜಮತಾಜಮ.
https://youtu.be/5A-oKchY7Og,604.7,609.7,ನಾವೇನು ತಪ್ಪು ಕಲಿಸಿ.
https://youtu.be/5A-oKchY7Og,609.7,625.1,ಅಲ್ಲ ಇವತ್ತೊಂದು ದಿವಸ ತಪ್ಪಲ್ಲಅದಕ್ಕೆ ಬಂದೋನ್ ಮಾಡಿ ಬಂದಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,625.8,628.4,ನಿಪಿ ಕಟ್ಟಿದ ಮೇಲೆ.
https://youtu.be/5A-oKchY7Og,628.4,631.2,ಇರಲಿಲ್ಲಂದರೆ ಹುಬ್ಬಳ್ಳಿ.
https://youtu.be/5A-oKchY7Og,632.6,637.0,ಜೀವನ ಇದೊಂದು ಪಾಠಶಾಲೆಕಲಿಸ.
https://youtu.be/5A-oKchY7Og,637.3,642.3,"ಜೀವನದಲ್ಲಿ ಸೋಲು ಬರುತ್ತದೆ, ಬಡತನ ಬರುತ್ತದೆ."
https://youtu.be/5A-oKchY7Og,642.3,651.6,"ನೋವುಗಳು ಬರುತ್ತವೆ, ನಿರಾಶೆಗಳು ಬರುತ್ತವೆ, ನಿಂದೆಗಳು ಬರುತ್ತವೆ, ಮಾತುಗಳು ಬರುತ್ತವೆ."
https://youtu.be/5A-oKchY7Og,651.6,657.6,ಇದೆಲ್ಲವನ್ನು ಮೀರಿ ಬದುಕುವುದನ್ನು ಪುಸ್ತಕ ಓದಿ ಕಗುವದಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,657.6,660.1,ಜಗತ್ತು ನೋಡಿ ಕಲಿಬೇಕಾಗುತ್ತದೆ.
https://youtu.be/5A-oKchY7Og,661.2,663.9,ಇವತ್ತು ನಮಗೆ ನಾವು ಅಂತಿರುತ್ತೇವೆ.
https://youtu.be/5A-oKchY7Og,663.9,666.9,ಏದರೆ ನಮ್ಮ ಕಷ್ಟದ ಕಾಲ.
https://youtu.be/5A-oKchY7Og,666.9,670.3,"ಯಾರು ಆಗಲಿಲ್ಲ, ನಾವುಎಷ್ಟು ಮಂದಿಗ ಆಗಿದ್ದೇವೆ."
https://youtu.be/5A-oKchY7Og,670.3,675.1,ನಮ್ಮ ಕಷ್ಟದ ಕಾಲಕ್ಕೆ ಯಾರು ಆಗಲಿಲ್ಲ ಅಂತ ನಾವು ಬಹಳ ಮಾಡಿಕೊಡ.
https://youtu.be/5A-oKchY7Og,675.1,677.6,ಇದು ಸಹಜ ಜೀವನದ.
https://youtu.be/5A-oKchY7Og,677.6,680.4,ನಮಗಿದ್ದಾಗ ಎಲ್ಲರೂ ಬಂದರು.
https://youtu.be/5A-oKchY7Og,680.4,689.0,"ಕಷ್ಟದ ಕಾಲಕ್ಕೆ ಯಾರು ಬರಲಿಲ್ಲ ಅಂತ ಮಂದಿಗೆ ಹೇಾಳಿಸುತ್ತೇವೆ, ಮಂದಿ ಬಗ್ಗೆ ಮಾತಾಡುತ್ತೇವೆ, ಆದರೆ ಸತ್ಯ ಅರ್ಥ ಮಾಡ್ಕೋಬೇಕು."
https://youtu.be/5A-oKchY7Og,689.0,717.5,ನಾನು ಸುಖವಾಗಿದ್ದಾಗ ಸಂತೋಷವಾಗಿದ್ದಾಗ ನನ್ನ   ಸಂತೋಷವಾಗಿದ್ದಾಗ ದುಃಖದಾಗಿದ್ದಾಗ ಬರುವುದಿಲ್ಲ ಮೆ ಸಂತೋಷದಾಗಿದ್ದಿದ್ದಮಲ ನಿರೀಕ್ಷೆಬೇಕು.
https://youtu.be/5A-oKchY7Og,719.4,726.0,ಮಂದಿಯನ್ನು ನಿರೀಕ್ಷೆ ಮಾಡಿಕಲುಇದಲ್ಲ ಬಡತನ ಬರುತ್ತ ಕಲಿಯುವುದು  ಬಂದರೆ ಏನಾಗುತ್ತ?
https://youtu.be/5A-oKchY7Og,726.4,731.3,ನಿನ್ನೆ ಹೇಳ್ತಾ ಇದ್ದೆಲ್ಲ ಮನುಷ್ಯನಿಗೆ.
https://youtu.be/5A-oKchY7Og,731.4,735.0,ತುಂಬಿದ ಪಾಕೆಟ್.
https://youtu.be/5A-oKchY7Og,735.0,737.3,ತುಂಬಿದ. ಜೇವ.
https://youtu.be/5A-oKchY7Og,737.3,744.7,ನೂರು ಆಟ ಕಲಿಸಿದರೆ ಖಾಲಿ  ಜೀವನದ ಪಾಠ ಕಲಿಸುತ್ತಿಬೇಕು ಮನುಷ್ಯ.
https://youtu.be/5A-oKchY7Og,744.7,749.5,ಸ್ಟೀವ್ ಜಾಬ್ಸ್ ಅಂತಿದ್ದ ನೀವೆಲ್ಲ ಕೇಳಿರಬೇಕು.
https://youtu.be/5A-oKchY7Og,749.6,751.6,ಅವ ಹೇಳುತ್ತಾನೆ.
https://youtu.be/5A-oKchY7Og,751.6,754.8,ಮನುಷ್ಯನಿಗೆ ಜೀವನದಲ್ಲಿ ಹಸಿವು.
https://youtu.be/5A-oKchY7Og,754.8,759.8,"ಮತ್ತು ಬಡತನ, ಹಸಿವು ಮತ್ತು ಬಡತನ."
https://youtu.be/5A-oKchY7Og,759.8,768.0,"ಏನು ಪಾಠ ಕಲಿಸುತ್ತಲ್ಲ, ಇದು ಯಾವ ವಿಶ್ವವಿದ್ಯಾಲಯವ ಕಲಿಸುವುದಿಲ್ಲ ಿಸತ್ತದ ಇರುತ್ತದೆ."
https://youtu.be/5A-oKchY7Og,768.9,772.5,ಏನು ವೈರಿಗಳು ಬರ್ತಾರೆ ಜೀವನದಲ್ಲಿ ಇರೋದಿಲ್ಲ.
https://youtu.be/5A-oKchY7Og,772.5,780.8,ನಮಗೆ ಬಹಳ ಮಂದಿ ವಗಳ ನಮ್ ನಮ್ಮಮಾಡಡು.
https://youtu.be/5A-oKchY7Og,780.8,791.2,ಅಲ್ಲ ಕಲಿ ಬೇಕಾದದದು ನೆಂದರೆ ತಿಳ್ಕೊಂಡುಕೊಂಡ.
https://youtu.be/5A-oKchY7Og,791.6,809.2,ಕಲಿಯುವುದೇನು ಜೀವನದಲ್ಲಿ ಅಂದರೆ ನನಗೆ ಬಹಳ ಮಂದಿ  ತಿಳ್ಕೊಂಡು ಹುಡುಗಳನ್ನು ತೆಗೆಬಿಟ್ಟ ಜೀವನನ್ೆ.
https://youtu.be/5A-oKchY7Og,809.6,814.9,ಕಲಿಯುವುದಿಲ್ಲ
https://youtu.be/5A-oKchY7Og,814.9,816.8,ನಿಂದ ಮಾಡುತ್ತಾರೆ.
https://youtu.be/5A-oKchY7Og,817.1,827.3,ಮಾಡ್ತಾರೆ ಪಾಪಎಲ್ಲ ಪುಕ್ಕಟೆ ಎಲ್ಲ ಸಿಕ್ಕಮತ್ತಉದ್ಯೋಗ ಬರುತ್ತ.
https://youtu.be/5A-oKchY7Og,828.5,831.8,ನೀವು ಒಂದು ಒಂದು ನೆನಪಿಟ್ಟುಕೊಂಡು.
